text,label
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.17, Location coordinates 21.0297,105.8523, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.17, Location coordinates 21.0297,105.8523, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.17, Location coordinates 21.0297,105.8523, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 9235.21 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 203.0.113.50, Location coordinates 51.5074,-0.1278, Hardware Device b4a1f9e2.",0.3216
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.19, Location coordinates 20.9995,105.8646, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.19, Location coordinates 20.9995,105.8646, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.19, Location coordinates 20.9995,105.8646, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 0.72 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.19, Location coordinates 20.9950,105.8595, Hardware Device 6f5129ac.",0.9235
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.19, Location coordinates 21.0040,105.8774, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.19, Location coordinates 21.0040,105.8774, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.19, Location coordinates 21.0040,105.8774, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 1.26 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.19, Location coordinates 21.0111,105.8680, Hardware Device 6f5129ac.",0.9589
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.19, Location coordinates 21.0724,105.8376, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.19, Location coordinates 21.0724,105.8376, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.19, Location coordinates 21.0724,105.8376, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 9230.51 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 203.0.113.50, Location coordinates 51.5074,-0.1278, Hardware Device b4a1f9e2.",0.3033
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.6, Location coordinates 21.0491,105.9037, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.6, Location coordinates 21.0491,105.9037, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.6, Location coordinates 21.0491,105.9037, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 9236.70 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 8.8.8.8, Location coordinates 51.5074,-0.1278, Hardware Device b4a1f9e2.",0.3531
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.19, Location coordinates 21.0073,105.8417, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.19, Location coordinates 21.0073,105.8417, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.19, Location coordinates 21.0073,105.8417, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 1.21 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.19, Location coordinates 21.0169,105.8361, Hardware Device 6f5129ac.",0.968
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.2, Location coordinates 21.0039,105.8186, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.2, Location coordinates 21.0039,105.8186, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.2, Location coordinates 21.0039,105.8186, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 0.43 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.2, Location coordinates 21.0024,105.8225, Hardware Device 6f5129ac.",0.9008
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.4, Location coordinates 21.0358,105.8332, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.4, Location coordinates 21.0358,105.8332, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.4, Location coordinates 21.0358,105.8332, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 0.23 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.4, Location coordinates 21.0349,105.8312, Hardware Device 6f5129ac.",0.914
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.18, Location coordinates 21.0412,105.8915, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.18, Location coordinates 21.0412,105.8915, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.18, Location coordinates 21.0412,105.8915, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 9236.64 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 203.0.113.50, Location coordinates 51.5074,-0.1278, Hardware Device b4a1f9e2.",0.3851
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.14, Location coordinates 21.0587,105.8881, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.14, Location coordinates 21.0587,105.8881, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.14, Location coordinates 21.0587,105.8881, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 1.07 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.14, Location coordinates 21.0497,105.8845, Hardware Device 6f5129ac.",0.9292
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.13, Location coordinates 21.0373,105.9037, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.13, Location coordinates 21.0373,105.9037, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.13, Location coordinates 21.0373,105.9037, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 9237.75 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 203.0.113.50, Location coordinates 51.5074,-0.1278, Hardware Device b4a1f9e2.",0.3408
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.2, Location coordinates 21.0638,105.8172, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.2, Location coordinates 21.0638,105.8172, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.2, Location coordinates 21.0638,105.8172, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 9229.99 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 8.8.8.8, Location coordinates 51.5074,-0.1278, Hardware Device b4a1f9e2.",0.3595
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.16, Location coordinates 21.0450,105.8868, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.16, Location coordinates 21.0450,105.8868, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.16, Location coordinates 21.0450,105.8868, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 9236.01 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 203.0.113.50, Location coordinates 51.5074,-0.1278, Hardware Device b4a1f9e2.",0.3068
"Analyze the following user login sequence for security threats:
[HISTORY]
Log 1: IP address 192.168.1.10, Location coordinates 21.0083,105.8527, Hardware Device 6f5129ac.
Log 2: IP address 192.168.1.10, Location coordinates 21.0083,105.8527, Hardware Device 6f5129ac.
Log 3: IP address 192.168.1.10, Location coordinates 21.0083,105.8527, Hardware Device 6f5129ac.
[ANALYSIS] The new login is 0.82 kilometers away from the previous location.

[CURRENT ATTEMPT] IP address 192.168.1.10, Location coordinates 21.0157,105.8534, Hardware Device 6f5129ac.",0.9938
